Source,Destination,Anchor
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/media-library-data/1591797668521-53c8f0392672146078710ff8a75f7696/CIVILRIGHTSSTAKEHOLDERCALLTRANSCRIPT05062020_SPANISH.pdf,En Espa–ol
https://www.hhs.gov/about/agencies/asa/psc/transportation-services/travel-transportation/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-travel-regulation-ftr,GSAÕs Federal Travel Regulation (FTR)
https://www.hhs.gov/about/agencies/asa/psc/real-property-policy-strategy/index.html,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation-fmr,"GSA Federal Management Regulations (FMR), Subchapter C Ñ Real Property"
https://www.hhs.gov/about/agencies/asa/psc/real-property-policy-strategy/index.html,https://www.hhs.gov/hhs-manuals/gam-part-30/index.html,"HHS Administration Manual, Part 30 Environmental Protection"
https://www.hhs.gov/privacy/privacy-impact-assessments/index.html,"https://www.hhs.gov/sites/default/files/	pia-samhsa-grants-review-and-honorarium-payment-support-system.csv",Download
https://www.hhs.gov/privacy/privacy-impact-assessments/index.html,https://www.hhs.gov/sites/default/files/pia-cdc-bdsteps_chdkids.csv,Download
https://www.hhs.gov/privacy/privacy-impact-assessments/index.html,"https://www.hhs.gov/sites/default/files/	pia-samhsa-grants-review-and-honorarium-payment-support-system.pdf",Download
https://www.hhs.gov/privacy/privacy-impact-assessments/index.html,https://www.hhs.gov/pia-os-asfr-present-responsibility-integrity-management-system.csv,Download
https://www.hhs.gov/privacy/privacy-impact-assessments/index.html,https://www.hhs.gov/sites/default/files/pia-fda-hfp-data-management-support-services-system-fda5077649.csv,Download
https://www.hhs.gov/ohrp/education-and-outreach/human-research-protection-training/ohrp-webinars-on-45-cfr-46/index.html,https://primr.org/cip/eligible-programs,Certified IRB Professional (CIP) recertification guidelines
https://www.hhs.gov/ohrp/education-and-outreach/human-research-protection-training/ohrp-webinars-on-45-cfr-46/index.html,https://primr.org/cip/eligible-programs,Certified IRB Professional (CIP) recertification guidelines
https://www.hhs.gov/ohrp/education-and-outreach/human-research-protection-training/ohrp-webinars-on-45-cfr-46/index.html,https://primr.org/cip/eligible-programs,Certified IRB Professional (CIP) recertification guidelines
https://www.hhs.gov/media/4043/modal,https://primr.org/cip/eligible-programs,Certified IRB Professional (CIP) recertification guidelines
https://www.hhs.gov/grants-contracts/baba/index.html,https://www.whitehouse.gov/omb/management/made-in-america/build-america-buy-america-act-federal-financial-assistance/,White House Made in America Page
https://www.hhs.gov/about/agencies/asfr/key-personnel/index.html,https://www.hhs.gov/asfr/ogapa/acquisition/hcacontacts.html,HHS Heads of Contracting Activity and Key Managers
